model,accuracy,precision,recall,f1,roc_auc,training_time_s,inference_time_s,family
Random Forest,0.9912822597033123,0.9645792563600782,0.9520958083832335,0.958296879556722,0.9981122425517158,22.118391899974085,0.3908621999435127,Traditional ML
XGBoost,0.9749237959764275,0.9052415210688592,0.8506857253235465,0.8771161123282215,0.993715926990522,2.99033950001467,0.09487509995233268,Traditional ML
Decision Tree,0.9630156472261735,0.745934065934066,0.9833880625845084,0.8483586068988502,0.991552955386363,0.903297399985604,0.00886020006146282,Traditional ML
SVM,0.927961796382849,0.7228290551611142,0.5112999806837937,0.5989365312818192,0.9089045092135734,4.914381199982017,0.03534029994625598,Traditional ML
DNN,0.9314773420036578,0.617040591362988,0.9190650956152212,0.7383612662942272,0.974450030214007,13.398661100072786,0.016178099904209375,Baseline DL
LSTM,0.9156878683194473,0.5627594627594628,0.8902839482325671,0.6896087379367098,0.9617304643165825,14.238266700063832,0.06610029994044453,Baseline DL
GRU,0.9092460881934566,0.5419073440999647,0.8879660034769171,0.6730600292825769,0.9574869767827956,13.054372000042349,0.060819100006483495,Baseline DL
DQN,0.9755409219190969,0.7209302325581395,0.2080536912751678,0.3229166666666667,0.8240589894979593,148.31189579993952,8.972867500036955,DRL
