model,accuracy,precision,recall,f1,roc_auc,training_time_s,inference_time_s
DNN,0.9314773420036578,0.617040591362988,0.9190650956152212,0.7383612662942272,0.974450030214007,13.398661100072786,0.016178099904209375
LSTM,0.9156878683194473,0.5627594627594628,0.8902839482325671,0.6896087379367098,0.9617304643165825,14.238266700063832,0.06610029994044453
GRU,0.9092460881934566,0.5419073440999647,0.8879660034769171,0.6730600292825769,0.9574869767827956,13.054372000042349,0.060819100006483495
